Country,Year,PM2.5,PM10,TotalDeaths,PMDeaths,CitiesCount
Denmark,2017,9.976666666666667,17.576666666666668,19.324887260097903,16.775030036155087,3
Ecuador,2010,19.27,33.48,35.11153019012344,29.247689026064855,1
Ecuador,2011,17.82,34.31,34.16801062241785,28.72671595442578,1
Ecuador,2012,18.43,37.6,33.61492867297144,28.67761585085202,1
Ecuador,2013,18.45,36.05,31.28195726175513,26.72426943243973,1
Ecuador,2014,17.32,61.56,29.05272340252255,24.678077877026105,1
Ecuador,2015,17.27,37.35,28.041828651523147,23.951764445194037,1
Ecuador,2016,14.07,40.75,27.553637367708887,23.622038753349624,2
Ecuador,2017,14.015,43.375,27.135242910048543,23.44804757309794,2
Estonia,2010,8.2975,14.1125,24.128851476346878,16.90232661482991,4
Estonia,2013,7.114,13.842000000000002,19.093163130579708,13.400262193734914,5
Estonia,2014,7.792,14.342000000000002,18.838467523565104,13.531512474047773,5
Estonia,2015,6.592499999999999,12.335,16.53077524854442,11.638833254044748,4
Estonia,2016,5.374,11.41,15.98226816467727,11.36116080602745,5
Estonia,2017,4.93,10.386000000000001,15.651686870127074,11.149028835911892,5
Finland,2010,8.529166666666667,15.472500000000002,12.554187503840462,11.589697026067268,12
Finland,2013,6.620833333333334,13.595833333333333,9.766607460475528,8.868855911210666,12
Finland,2014,7.629230769230769,15.166153846153845,9.630076860437589,8.761753489479402,13
Finland,2015,5.755384615384615,13.15846153846154,8.69069077668554,7.840072315633548,13
Finland,2016,5.871538461538462,12.231538461538461,8.40169621134432,7.544358232611469,13
Finland,2017,4.578461538461538,10.863846153846152,8.507491500027184,7.6351616040489265,13
France,2010,17.697936507936507,25.639365079365078,15.783325196235538,14.59248791552473,63
France,2014,9.02,32.15,12.712931603864243,11.634975199303137,1
France,2015,12.784234234234233,20.241261261261265,12.83499259035394,11.76378539500493,111
France,2016,11.668019801980199,18.34920792079208,11.967906775869777,10.916809436920024,101
France,2017,11.086181818181819,18.551454545454547,11.819222109054913,10.777409938473737,110
Georgia,2014,29.0,55.23,67.58947935757708,33.50528948811677,1
Georgia,2015,24.5,47.5,69.46115289261455,35.91634217893515,1
Georgia,2017,20.0,39.0,70.51192620351799,36.63293489311241,1
Germany,2010,17.42128205128205,23.71807692307692,22.868639030093235,20.68905286671175,78
Germany,2013,14.02602564102564,20.436410256410255,20.897365792540253,18.68022356235992,78
Germany,2014,14.137068965517242,20.51508620689655,19.82340238575489,17.6627170960663,116
Germany,2015,12.713606557377048,19.21704918032787,20.47622376669419,18.227343803385192,122
Germany,2016,12.320165289256199,17.872561983471073,20.104022575465148,17.823529874686166,121
Germany,2017,12.136201550387597,17.6715503875969,19.82826477532281,17.597897924487683,129
Greece,2013,10.02,26.5,27.757516499610933,25.127521968369155,1
Greece,2015,18.845,38.635000000000005,26.90073306027663,24.468833441465037,2
Greece,2016,17.290000000000003,31.018333333333334,25.785656599903877,23.346231463716247,6
Greece,2017,16.45875,27.987499999999997,25.72366267827761,23.295159635326367,8
Guatemala,2013,40.88,56.25,70.15062132305783,25.074594848565003,1
Guatemala,2014,35.17,46.75,68.55376181209552,23.51389658622556,1
Honduras,2013,36.0,58.5,56.872950078782594,18.381837128943307,1
Hungary,2010,21.6425,31.0925,50.028097547021424,36.313723766283815,4
Hungary,2013,17.023333333333333,25.606666666666666,44.37379106389096,31.63718200322649,3
Hungary,2014,15.8525,25.4,42.30314040344999,29.888795078326392,4
Hungary,2016,10.13,20.13,40.53679743524542,28.94797624170629,1
Hungary,2017,14.85,27.75,39.20837155126984,28.2910041317928,2
Iceland,2010,7.735,15.02,13.021714394785931,11.448989059440526,2
Iceland,2014,4.64,6.03,10.772671640674943,9.2179712070438,1
Iceland,2015,6.43,9.5225,10.742414880948346,9.169528211710531,4
Iceland,2016,6.695,8.907499999999999,9.917058291079096,8.32140821826243,4
Iceland,2017,5.2,8.154285714285715,9.946781471307625,8.272267100029666,7
India,2016,39.12943661971831,85.1461971830986,134.64393837108747,70.13195308931152,71
India,2017,39.044285714285714,87.58131868131868,131.99401859860856,70.80343541946223,91
Ireland,2010,11.46,21.65,18.757054398196445,17.231539884016914,2
Ireland,2013,10.0,15.403333333333334,17.404958203293546,15.858282944190956,3
Ireland,2014,7.445,12.06,16.066805047254295,14.55381964388585,2
Ireland,2015,6.945,12.54,15.683316610073762,14.197104764829442,2
Ireland,2016,8.48,14.0475,14.82763004157547,13.366116158963,4
Ireland,2017,7.515,13.355,14.667470964625556,13.208756687243348,4
Israel,2012,20.595,49.13333333333333,24.001079906583687,22.062456319487666,6
Israel,2013,21.877142857142854,54.20285714285715,23.46344492638519,21.545457965002374,7
Israel,2014,21.19,43.74166666666667,22.541140617925127,20.637068913412577,6
Israel,2015,25.3,58.605714285714285,22.84496127665537,20.923210734282065,7
Italy,2010,20.10263888888889,29.032083333333333,20.326101216752363,18.267647140609068,72
Italy,2013,18.107235772357726,26.21479674796748,18.72766270042406,16.804621280236695,123
Italy,2014,15.988251748251749,24.109370629370627,18.11464325753468,16.248807355828195,143
Italy,2015,18.597619047619048,27.360535714285714,18.545884601295544,16.636577874145974,168
Italy,2016,16.337687861271675,24.464161849710983,17.030851166842936,15.200145391240921,173
Italy,2017,16.991573604060914,25.967005076142133,16.75889407644987,14.96445109933372,197
Kuwait,2014,56.4525,142.13,34.84297330733431,34.15949351024077,4
Kuwait,2015,63.93333333333334,127.34666666666665,35.89668303521746,35.20830192379523,3
Kuwait,2016,35.09166666666667,89.14,34.873159689520804,34.19825417404925,6
Kuwait,2017,67.4,146.085,34.78580059858391,34.11354154738557,2
Latvia,2010,21.49,29.585,45.352471251901385,39.024339912355785,2
Latvia,2013,14.100000000000001,21.9925,39.37505990556964,33.80946950864909,4
Latvia,2014,16.716,24.836000000000002,37.7468895587788,32.5591784430454,5
Latvia,2015,16.195,22.645,35.63911796219938,30.660699370116557,4
Latvia,2016,13.797999999999998,19.234,34.83343819832083,29.975712977429215,5
Latvia,2017,12.712,18.137999999999998,34.25710938331846,29.682101941213894,5
Lebanon,2012,30.3,51.3,51.294227954161855,48.91928316754886,1
Lebanon,2014,27.0,41.75,50.60696790191387,48.26743811479693,4
Lebanon,2015,15.0,43.0,50.708917304037215,48.38150409767855,1
Lebanon,2016,19.0,55.0,49.96460711016384,47.63390432973328,1
Lithuania,2010,15.856666666666667,27.80333333333333,41.40444843266543,39.285236097877,3
Lithuania,2013,15.086000000000002,26.651999999999997,37.063250714954485,35.08786950065513,5
Lithuania,2014,14.290000000000001,29.314999999999998,35.11186187984981,33.25769851346174,6
Lithuania,2015,12.479999999999999,25.506666666666664,34.738008760660385,32.890370223967935,6
Lithuania,2016,11.041666666666666,22.88,33.548517631413205,31.72327206924174,6
Lithuania,2017,11.74,21.606,33.17304660318631,31.38625781138448,5
Luxembourg,2010,14.073333333333332,19.126666666666665,20.4550618679038,18.189111883940274,3
Luxembourg,2013,16.36,17.080000000000002,18.00900206066395,15.82301195542077,2
Luxembourg,2014,11.736666666666666,19.05333333333333,17.087774401792032,14.918264506394502,3
Luxembourg,2015,11.583333333333334,20.373333333333335,17.058514959679762,14.874443707351537,3
Luxembourg,2016,11.103333333333333,20.113333333333333,16.093345469940886,13.948161149723441,3
Luxembourg,2017,9.84,19.83666666666667,15.97749926375693,13.847322550028258,3
Madagascar,2015,8.0,13.0,160.58744343674624,16.518631800986277,1
Madagascar,2017,128.0,143.0,155.06950760658387,16.385583803681367,1
Malta,2010,14.983333333333333,36.78333333333333,27.355939144772133,25.461284447777995,3
Malta,2013,14.57,31.655,24.11305680450015,22.437370973558416,2
Malta,2014,12.12,28.516666666666666,23.174795412467024,21.49560187258676,3
Malta,2015,12.879999999999999,28.900000000000002,23.49562395794774,21.805218282253136,2
